agent_id,agent_name,team,status
AG001,Agent 01,Team A,Active
AG002,Agent 02,Team A,Active
AG003,Agent 03,Team C,Active
AG004,Agent 04,Team B,Active
AG005,Agent 05,Team B,Active
AG006,Agent 06,Team B,Active
AG007,Agent 07,Team A,Active
AG008,Agent 08,Team E,Active
AG009,Agent 09,Team A,Active
AG010,Agent 10,Team E,Active
AG011,Agent 11,Team D,Active
AG012,Agent 12,Team A,Active
AG013,Agent 13,Team A,Active
AG014,Agent 14,Team A,Active
AG015,Agent 15,Team B,Active
AG016,Agent 16,Team B,Active
AG017,Agent 17,Team E,Active
AG018,Agent 18,Team E,Active
AG019,Agent 19,Team A,Active
AG020,Agent 20,Team E,Active
AG021,Agent 21,Team B,Active
AG022,Agent 22,Team E,Active
AG023,Agent 23,Team D,Active
AG024,Agent 24,Team B,Active
AG025,Agent 25,Team D,Active
AG026,Agent 26,Team E,Active
AG027,Agent 27,Team C,Active
AG028,Agent 28,Team A,Active
AG029,Agent 29,Team B,Active
AG030,Agent 30,Team D,Active
AG031,Agent 31,Team C,Active
AG032,Agent 32,Team C,Active
AG033,Agent 33,Team B,Active
AG034,Agent 34,Team B,Active
AG035,Agent 35,Team C,Active
AG036,Agent 36,Team A,Active
AG037,Agent 37,Team A,Active
AG038,Agent 38,Team D,Active
AG039,Agent 39,Team A,Active
AG040,Agent 40,Team C,Active
AG041,Agent 41,Team C,Active
AG042,Agent 42,Team E,Active
AG043,Agent 43,Team C,Active
AG044,Agent 44,Team A,Active
AG045,Agent 45,Team D,Active
AG046,Agent 46,Team E,Active
AG047,Agent 47,Team A,Active
AG048,Agent 48,Team D,Active
AG049,Agent 49,Team A,Active
AG050,Agent 50,Team E,Active
