ticket_id,agent_id,category,channel,priority,status,opened_at,closed_at,sla_target_hours,age_hours,resolution_hours,sla_breached
TKT0001,AG007,Refund Request,Email,Medium,Closed,2026-03-12 07:00,2026-03-14 07:00,48,48,48,False
TKT0002,AG002,Refund Request,Email,Medium,Closed,2026-01-24 06:00,2026-01-25 21:00,48,39,39,False
TKT0003,AG001,Technical Support,Phone,Medium,Closed,2026-04-18 07:00,2026-04-19 01:00,48,18,18,False
TKT0004,AG007,Account Access,Chat,Medium,Closed,2026-02-25 10:00,2026-02-26 11:00,48,25,25,False
TKT0005,AG006,Refund Request,Chat,Medium,Closed,2026-07-06 14:00,2026-07-07 15:00,48,25,25,False
TKT0006,AG005,Billing,Phone,High,Closed,2026-08-09 11:00,2026-08-10 10:00,24,23,23,False
TKT0007,AG018,Product Inquiry,Phone,Low,Closed,2026-01-21 07:00,2026-01-26 08:00,72,121,121,True
TKT0008,AG044,Billing,Phone,High,Closed,2026-04-01 06:00,2026-04-02 05:00,24,23,23,False
TKT0009,AG041,Refund Request,Email,Medium,Closed,2026-03-04 05:00,2026-03-04 23:00,48,18,18,False
TKT0010,AG003,Account Access,Chat,Medium,Open,2026-08-29 21:00,,48,63,,True
TKT0011,AG026,Product Inquiry,Email,Low,Closed,2026-05-26 22:00,2026-05-29 14:00,72,64,64,False
TKT0012,AG038,Product Inquiry,Chat,Low,Closed,2026-05-24 17:00,2026-05-27 00:00,72,55,55,False
TKT0013,AG049,Billing,Email,Low,Open,2026-08-29 06:00,,72,78,,True
TKT0014,AG025,Refund Request,Chat,Low,Closed,2026-06-24 13:00,2026-06-26 15:00,72,50,50,False
TKT0015,AG044,Billing,Phone,Medium,Open,2026-08-28 10:00,,48,98,,True
TKT0016,AG028,Technical Support,Chat,High,Closed,2026-07-16 20:00,2026-07-17 06:00,24,10,10,False
TKT0017,AG033,Billing,Phone,Low,Closed,2026-07-04 08:00,2026-07-08 07:00,72,95,95,True
TKT0018,AG035,Refund Request,Email,Low,Closed,2026-06-05 06:00,2026-06-06 03:00,72,21,21,False
TKT0019,AG016,Billing,Email,Medium,Closed,2026-01-29 11:00,2026-02-02 03:00,48,88,88,True
TKT0020,AG005,Refund Request,Email,High,Open,2026-08-31 20:00,,24,16,,False
TKT0021,AG014,Refund Request,Phone,Low,Closed,2026-05-21 05:00,2026-05-23 12:00,72,55,55,False
TKT0022,AG034,Product Inquiry,Email,Medium,Closed,2026-04-13 21:00,2026-04-15 02:00,48,29,29,False
TKT0023,AG001,Billing,Phone,Low,Closed,2026-01-06 18:00,2026-01-07 23:00,72,29,29,False
TKT0024,AG018,Product Inquiry,Email,Medium,Closed,2026-01-09 10:00,2026-01-10 02:00,48,16,16,False
TKT0025,AG031,Product Inquiry,Email,Medium,Closed,2026-08-14 18:00,2026-08-15 10:00,48,16,16,False
TKT0026,AG044,Billing,Email,Low,Closed,2026-04-01 13:00,2026-04-01 20:00,72,7,7,False
TKT0027,AG035,Product Inquiry,Email,Medium,Closed,2026-08-09 03:00,2026-08-09 16:00,48,13,13,False
TKT0028,AG007,Billing,Phone,Medium,Closed,2026-03-05 02:00,2026-03-06 14:00,48,36,36,False
TKT0029,AG049,Technical Support,Email,Critical,Open,2026-08-25 05:00,,8,175,,True
TKT0030,AG025,Billing,Chat,Medium,Closed,2026-08-10 12:00,2026-08-13 10:00,48,70,70,True
TKT0031,AG043,Product Inquiry,Email,Low,Closed,2026-04-27 09:00,2026-04-30 09:00,72,72,72,False
TKT0032,AG048,Account Access,Email,Low,Closed,2026-01-15 18:00,2026-01-16 02:00,72,8,8,False
TKT0033,AG006,Technical Support,Email,Low,Closed,2026-08-07 16:00,2026-08-10 10:00,72,66,66,False
TKT0034,AG016,Refund Request,Phone,Medium,Closed,2026-03-02 12:00,2026-03-04 01:00,48,37,37,False
TKT0035,AG017,Technical Support,Phone,Low,Closed,2026-06-18 18:00,2026-06-20 11:00,72,41,41,False
TKT0036,AG030,Account Access,Email,Medium,Closed,2026-04-12 04:00,2026-04-13 00:00,48,20,20,False
TKT0037,AG033,Account Access,Email,Low,Closed,2026-05-25 03:00,2026-05-26 07:00,72,28,28,False
TKT0038,AG019,Technical Support,Chat,High,Open,2026-08-27 12:00,,24,120,,True
TKT0039,AG036,Account Access,Phone,High,Closed,2026-06-06 20:00,2026-06-07 18:00,24,22,22,False
TKT0040,AG048,Refund Request,Email,Low,Open,2026-08-31 22:00,,72,14,,False
TKT0041,AG033,Product Inquiry,Chat,Low,Closed,2026-07-03 10:00,2026-07-04 20:00,72,34,34,False
TKT0042,AG018,Billing,Email,High,Open,2026-08-31 22:00,,24,14,,False
TKT0043,AG046,Product Inquiry,Phone,Low,Closed,2026-03-09 05:00,2026-03-12 04:00,72,71,71,False
TKT0044,AG003,Account Access,Phone,Low,Closed,2026-08-15 22:00,2026-08-21 20:00,72,142,142,True
TKT0045,AG023,Technical Support,Phone,Medium,Closed,2026-01-11 09:00,2026-01-11 12:00,48,3,3,False
TKT0046,AG040,Technical Support,Email,Low,Closed,2026-07-19 17:00,2026-07-24 22:00,72,125,125,True
TKT0047,AG002,Technical Support,Phone,High,Open,2026-08-30 09:00,,24,51,,True
TKT0048,AG018,Technical Support,Phone,High,Closed,2026-04-16 21:00,2026-04-19 05:00,24,56,56,True
TKT0049,AG013,Product Inquiry,Chat,Low,Open,2026-08-26 07:00,,72,149,,True
TKT0050,AG026,Account Access,Chat,Low,Closed,2026-02-28 07:00,2026-03-01 08:00,72,25,25,False
